,event,adc
85,45,"[201.0, 200.0, 202.0, 374.0, 498.0, 488.0, 431.0, 370.0, 322.0, 286.0]"
86,47,"[199.0, 201.0, 210.0, 750.0, 1126.0, 1099.0, 914.0, 717.0, 563.0, 458.0]"
87,47,"[200.0, 200.0, 202.0, 370.0, 487.0, 479.0, 421.0, 360.0, 313.0, 285.0]"
88,48,"[198.0, 196.0, 199.0, 273.0, 322.0, 318.0, 293.0, 267.0, 250.0, 237.0]"
89,49,"[197.0, 198.0, 202.0, 403.0, 543.0, 532.0, 464.0, 390.0, 337.0, 297.0]"
90,49,"[199.0, 201.0, 200.0, 274.0, 328.0, 323.0, 299.0, 273.0, 251.0, 237.0]"
91,50,"[199.0, 200.0, 206.0, 645.0, 951.0, 934.0, 782.0, 623.0, 499.0, 414.0]"
92,50,"[204.0, 203.0, 204.0, 382.0, 503.0, 497.0, 435.0, 372.0, 322.0, 288.0]"
93,51,"[201.0, 200.0, 198.0, 277.0, 328.0, 324.0, 300.0, 273.0, 254.0, 239.0]"
94,51,"[196.0, 197.0, 201.0, 515.0, 733.0, 720.0, 616.0, 502.0, 413.0, 351.0]"
95,52,"[200.0, 200.0, 198.0, 316.0, 407.0, 403.0, 362.0, 315.0, 280.0, 257.0]"
96,52,"[199.0, 199.0, 200.0, 300.0, 369.0, 366.0, 331.0, 295.0, 264.0, 245.0]"
97,53,"[200.0, 201.0, 203.0, 503.0, 708.0, 696.0, 597.0, 488.0, 402.0, 342.0]"
98,53,"[201.0, 202.0, 202.0, 339.0, 437.0, 432.0, 383.0, 332.0, 292.0, 264.0]"
99,54,"[201.0, 200.0, 199.0, 263.0, 310.0, 310.0, 285.0, 263.0, 244.0, 233.0]"
100,54,"[200.0, 202.0, 203.0, 303.0, 372.0, 367.0, 332.0, 294.0, 266.0, 245.0]"
101,54,"[202.0, 202.0, 200.0, 263.0, 308.0, 305.0, 282.0, 262.0, 243.0, 228.0]"
102,54,"[204.0, 204.0, 204.0, 287.0, 347.0, 343.0, 313.0, 283.0, 259.0, 241.0]"
103,55,"[203.0, 203.0, 208.0, 558.0, 807.0, 792.0, 670.0, 541.0, 440.0, 372.0]"
104,55,"[199.0, 200.0, 202.0, 287.0, 342.0, 337.0, 308.0, 277.0, 256.0, 241.0]"
105,56,"[201.0, 202.0, 209.0, 808.0, 1232.0, 1207.0, 998.0, 781.0, 611.0, 492.0]"
106,56,"[201.0, 201.0, 202.0, 394.0, 527.0, 517.0, 452.0, 382.0, 329.0, 295.0]"
107,57,"[200.0, 201.0, 204.0, 305.0, 377.0, 375.0, 337.0, 296.0, 268.0, 251.0]"
108,57,"[195.0, 196.0, 201.0, 438.0, 607.0, 600.0, 516.0, 428.0, 363.0, 316.0]"
109,58,"[199.0, 198.0, 201.0, 291.0, 351.0, 345.0, 316.0, 284.0, 260.0, 243.0]"
110,58,"[200.0, 200.0, 201.0, 273.0, 326.0, 321.0, 296.0, 268.0, 250.0, 235.0]"
111,60,"[200.0, 202.0, 206.0, 625.0, 924.0, 907.0, 762.0, 609.0, 488.0, 402.0]"
112,60,"[203.0, 201.0, 203.0, 384.0, 514.0, 508.0, 445.0, 379.0, 329.0, 293.0]"
113,60,"[200.0, 203.0, 203.0, 340.0, 438.0, 433.0, 386.0, 334.0, 292.0, 264.0]"
114,60,"[199.0, 201.0, 202.0, 372.0, 494.0, 489.0, 430.0, 365.0, 317.0, 283.0]"
115,61,"[203.0, 201.0, 205.0, 479.0, 669.0, 656.0, 561.0, 464.0, 388.0, 332.0]"
116,61,"[199.0, 197.0, 199.0, 275.0, 329.0, 329.0, 300.0, 271.0, 250.0, 236.0]"
