,event,adc
163,87,"[196.0, 197.0, 199.0, 198.0, 244.0, 322.0, 334.0, 312.0, 283.0, 257.0]"
164,89,"[201.0, 200.0, 199.0, 198.0, 303.0, 489.0, 526.0, 475.0, 405.0, 344.0]"
165,89,"[202.0, 203.0, 201.0, 198.0, 265.0, 386.0, 410.0, 377.0, 328.0, 292.0]"
166,90,"[201.0, 200.0, 198.0, 196.0, 277.0, 416.0, 440.0, 401.0, 350.0, 305.0]"
167,90,"[200.0, 201.0, 201.0, 201.0, 257.0, 351.0, 366.0, 338.0, 303.0, 273.0]"
168,91,"[199.0, 199.0, 200.0, 201.0, 532.0, 1102.0, 1203.0, 1043.0, 826.0, 643.0]"
169,91,"[201.0, 203.0, 201.0, 204.0, 271.0, 387.0, 406.0, 372.0, 328.0, 292.0]"
170,91,"[200.0, 200.0, 200.0, 201.0, 407.0, 759.0, 819.0, 720.0, 585.0, 475.0]"
171,92,"[201.0, 201.0, 201.0, 199.0, 245.0, 325.0, 341.0, 318.0, 288.0, 261.0]"
172,92,"[199.0, 199.0, 199.0, 200.0, 273.0, 398.0, 420.0, 386.0, 336.0, 294.0]"
173,93,"[202.0, 202.0, 200.0, 199.0, 304.0, 486.0, 519.0, 469.0, 401.0, 340.0]"
174,93,"[197.0, 197.0, 198.0, 199.0, 234.0, 292.0, 304.0, 290.0, 268.0, 247.0]"
175,94,"[197.0, 197.0, 196.0, 201.0, 285.0, 422.0, 443.0, 402.0, 348.0, 306.0]"
176,94,"[201.0, 200.0, 198.0, 199.0, 245.0, 320.0, 331.0, 310.0, 281.0, 256.0]"
177,95,"[199.0, 199.0, 201.0, 200.0, 363.0, 644.0, 693.0, 614.0, 512.0, 422.0]"
178,95,"[201.0, 201.0, 202.0, 201.0, 316.0, 515.0, 551.0, 496.0, 424.0, 358.0]"
179,97,"[200.0, 200.0, 200.0, 201.0, 471.0, 931.0, 1012.0, 880.0, 706.0, 558.0]"
180,97,"[196.0, 197.0, 198.0, 199.0, 288.0, 446.0, 474.0, 432.0, 373.0, 320.0]"
